date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2018-07-30 00:00:00+00:00,279.95,281.69,279.36,281.51,63742508,269.0405975111,270.7127912588,268.4735892863,270.5398056987,63742508,0.0,1.0
2018-07-31 00:00:00+00:00,281.33,282.02,280.38,280.81,68570493,270.3668201385,271.0299314523,269.4538407935,269.867084076,68570493,0.0,1.0
2018-08-01 00:00:00+00:00,280.86,282.13,280.13,281.56,53853326,269.9151356205,271.1356448501,269.2135830712,270.5878572431,53853326,0.0,1.0
2018-08-02 00:00:00+00:00,282.39,282.58,279.16,279.39,63426363,271.3855128814,271.5681087504,268.2813831084,268.502420213,63426363,0.0,1.0
2018-08-03 00:00:00+00:00,283.6,283.66,282.33,282.53,53935386,272.5483602577,272.606022111,271.327851028,271.5200572059,53935386,0.0,1.0
2018-08-06 00:00:00+00:00,284.64,284.99,283.2,283.64,39400887,273.5478323827,273.8841931941,272.1639479019,272.5868014933,39400887,0.0,1.0
2018-08-07 00:00:00+00:00,285.58,286.01,285.24,285.39,43196646,274.4512014189,274.8644447013,274.1244509164,274.2686055499,43196646,0.0,1.0
2018-08-08 00:00:00+00:00,285.46,285.91,284.94,285.39,42114551,274.3358777121,274.7683416124,273.8361416496,274.2686055499,42114551,0.0,1.0
2018-08-09 00:00:00+00:00,285.07,285.97,284.92,285.53,35716976,273.9610756652,274.8260034658,273.8169210318,274.4031498744,35716976,0.0,1.0
2018-08-10 00:00:00+00:00,283.16,284.06,282.36,283.45,77076044,272.1255066663,272.9904344668,271.3566819547,272.4042056243,77076044,0.0,1.0
2018-08-13 00:00:00+00:00,282.1,284.16,281.77,283.47,65732909,271.1068139235,273.0865375558,270.7896737299,272.423426242,65732909,0.0,1.0
2018-08-14 00:00:00+00:00,283.9,284.17,282.48,282.92,43842031,272.8366695245,273.0961478647,271.4720056615,271.8948592528,43842031,0.0,1.0
2018-08-15 00:00:00+00:00,281.78,282.54,280.16,282.38,102925355,270.7992840388,271.5296675148,269.2424139979,271.3759025725,102925355,0.0,1.0
2018-08-16 00:00:00+00:00,284.06,285.04,283.36,283.4,69967919,272.9904344668,273.9322447385,272.3177128442,272.3561540798,69967919,0.0,1.0
2018-08-17 00:00:00+00:00,285.06,285.56,283.37,283.83,65618481,273.9514653563,274.4319808011,272.3273231531,272.7693973623,65618481,0.0,1.0
2018-08-20 00:00:00+00:00,285.67,285.97,285.06,285.57,39807490,274.5376941989,274.8260034658,273.9514653563,274.44159111,39807490,0.0,1.0
2018-08-21 00:00:00+00:00,286.34,287.31,285.71,286.25,67271983,275.1815848949,276.1137848577,274.5761354345,275.0950921148,67271983,0.0,1.0
2018-08-22 00:00:00+00:00,286.17,286.76,285.58,285.88,44993333,275.0182096437,275.5852178684,274.4512014189,274.7395106857,44993333,0.0,1.0
2018-08-23 00:00:00+00:00,285.79,286.94,285.43,285.97,49204851,274.6530179056,275.7582034286,274.3070467854,274.8260034658,49204851,0.0,1.0
2018-08-24 00:00:00+00:00,287.51,287.67,286.38,286.44,57487399,276.3059910356,276.4597559779,275.2200261304,275.2776879838,57487399,0.0,1.0
2018-08-27 00:00:00+00:00,289.78,289.9,288.68,288.86,57072377,278.4875311547,278.6028548614,277.4303971763,277.6033827364,57072377,0.0,1.0
2018-08-28 00:00:00+00:00,289.92,290.42,289.4,290.3,46943472,278.6220754792,279.102590924,278.1223394167,278.9872672172,46943472,0.0,1.0
2018-08-29 00:00:00+00:00,291.48,291.74,289.89,290.16,61485514,280.1212836668,280.3711516981,278.5932445525,278.8527228927,61485514,0.0,1.0
2018-08-30 00:00:00+00:00,290.3,291.36,289.63,290.94,61229501,278.9872672172,280.0059599601,278.3433765213,279.6023269865,61229501,0.0,1.0
2018-08-31 00:00:00+00:00,290.31,290.81,289.29,289.84,66140838,278.9968775261,279.4773929709,278.0166260188,278.5451930081,66140838,0.0,1.0
2018-09-04 00:00:00+00:00,289.81,290.21,288.68,289.84,57594367,278.5163620814,278.9007744372,277.4303971763,278.5451930081,57594367,0.0,1.0
2018-09-05 00:00:00+00:00,289.03,289.64,287.89,289.41,72452437,277.7667579876,278.3529868302,276.6711827736,278.1319497256,72452437,0.0,1.0
2018-09-06 00:00:00+00:00,288.16,289.49,287.0,289.15,65909863,276.9306611137,278.2088321967,275.8158652819,277.8820816943,65909863,0.0,1.0
2018-09-07 00:00:00+00:00,287.6,288.7,286.71,286.98,73524824,276.3924838156,277.449617794,275.537166324,275.7966446641,73524824,0.0,1.0
2018-09-10 00:00:00+00:00,288.1,289.04,287.88,288.74,50191113,276.8729992604,277.7763682965,276.6615724647,277.4880590296,50191113,0.0,1.0
2018-09-11 00:00:00+00:00,289.05,289.55,286.98,287.37,50530492,277.7859786054,278.2664940501,275.7966446641,276.171446711,50530492,0.0,1.0
2018-09-12 00:00:00+00:00,289.12,289.8,288.23,289.06,59810758,277.8532507676,278.5067517725,276.997933276,277.7955889143,59810758,0.0,1.0
2018-09-13 00:00:00+00:00,290.83,291.04,290.0,290.32,51034222,279.4966135886,279.6984300754,278.6989579504,279.006487835,51034222,0.0,1.0
2018-09-14 00:00:00+00:00,290.88,291.27,290.0,291.06,55079875,279.5446651331,279.91946718,278.6989579504,279.7176506932,55079875,0.0,1.0
2018-09-17 00:00:00+00:00,289.34,290.86,289.03,290.82,68244043,278.0646775633,279.5254445153,277.7667579876,279.4870032798,68244043,0.0,1.0
2018-09-18 00:00:00+00:00,290.91,291.58,289.55,289.58,61930407,279.5734960598,280.2173867558,278.2664940501,278.2953249768,61930407,0.0,1.0
2018-09-19 00:00:00+00:00,291.22,291.69,290.83,290.97,49080562,279.8714156355,280.3231001536,279.4966135886,279.6311579132,49080562,0.0,1.0
2018-09-20 00:00:00+00:00,293.58,293.94,291.24,292.64,100360646,282.1394485347,282.4854196549,279.8906362533,281.2360794986,100360646,0.0,1.0
2018-09-21 00:00:00+00:00,291.99,293.22,291.81,293.09,105479656,281.8824688749,283.0698911726,281.7086997581,282.944391255,105479656,1.3226,1.0
2018-09-24 00:00:00+00:00,291.02,291.5,290.37,291.34,53409645,280.9460464124,281.4094307237,280.3185468242,281.2549692866,53409645,0.0,1.0
2018-09-25 00:00:00+00:00,290.75,291.65,290.48,291.53,44370037,280.6853927373,281.554238321,280.4247390622,281.4383922432,44370037,0.0,1.0
